genre_id,genre_name,genre_group,genre_subgroup
100017,植木鉢,home,flower_plant
100167,レコードプレーヤー,home,interior
100297,食パン,food,staple_food
100351,紅茶,drink,tea_coffee
100361,日本茶,drink,tea_coffee
100487,指輪・リング,home,fashion
100633,ラップ,home,interior
100650,バスマット,home,textile
100663,ブラシ・くし,home,bath_beauty
100673,紙袋・手提げ袋,home,interior
100678,玄関マット,home,textile
100715,そば猪口,home,tableware_kitchen
100733,ぐい呑み・おちょこ,home,tableware_kitchen
100754,バターナイフ,home,tableware_kitchen
100815,掛軸,home,interior
100817,のれん,home,interior
100818,畳,home,interior
100861,砂時計,home,interior
100962,石けん・ボディソープ,home,bath_beauty
100974,洗顔グッズ,home,bath_beauty
101023,,food,other_food
101047,歩数計,home,bath_beauty
101171,灰皿,home,interior
101229,工芸品・民芸品,craft,handmade
101535,セット・詰め合わせ,food,meat_seafood
101807,カーディガン,home,fashion
110001,花束・切花,home,flower_plant
110042,造花,home,flower_plant
110365,ストラップ・マスコット,home,interior
110405,切り身・丸ごと,food,meat_seafood
110408,カキ,food,meat_seafood
110409,ホタテ,food,meat_seafood
110411,カニ,food,meat_seafood
110429,,food,meat_seafood
110430,サーロイン,food,meat_seafood
110432,バラ・カルビ,food,meat_seafood
110434,モモ,food,other_food
110435,タン,food,meat_seafood
110457,セット・詰め合わせ,food,sweets
110474,,food,staple_food
110477,ジャム・コンフィチュール,food,other_food
110487,ラーメン,food,staple_food
110534,,food,other_food
110626,ビール,drink,alcohol
110692,野菜・果実飲料,drink,soft_drink
110729,ワンピース,home,fashion
110746,帽子用アクセサリー,home,fashion
110854,ブラジャー,home,fashion
110894,サングラス,home,fashion
110934,ハンドバッグ,home,fashion
110942,ショルダーバッグ・メッセンジャーバッグ,home,fashion
110950,トートバッグ,home,fashion
110966,バックパック・リュック,home,fashion
111029,ネックレス・ペンダント,home,fashion
111048,イヤリング,home,fashion
111061,ピアス,home,fashion
111120,,home,bath_beauty
111163,シール・ステッカー,home,interior
111177,スタンプ,home,interior
111179,印鑑ケース,home,interior
111210,,home,interior
111377,フォトフレーム,home,interior
111384,置物,home,interior
111388,花瓶,home,interior
111477,洗面器・風呂桶,home,bath_beauty
111523,防災セット・非常用持ちだし袋,home,interior
112134,開運インテリア,home,interior
113066,ブレスレット,home,fashion
113074,ブローチ,home,fashion
200029,中国茶,drink,tea_coffee
200052,冠婚葬祭サービス,home,interior
200100,計量スプーン,home,tableware_kitchen
200104,各種和菓子セット,food,sweets
200164,ミックスセット,drink,alcohol
200398,からすみ,food,other_food
200401,ビスケット,food,other_food
200812,ブーティー,home,fashion
200813,靴下,home,fashion
200817,おむつカバー,home,baby
200818,ベビーバス,home,baby
200823,ベビーふとんセット,home,baby
200825,ベビーラック・ハイローベッド,home,baby
200884,切り身・丸ごと,food,meat_seafood
200886,,food,meat_seafood
200891,ハモ,food,meat_seafood
200904,エビ,food,meat_seafood
200912,さつまあげ,food,meat_seafood
200915,かまぼこ,food,meat_seafood
200916,セット・詰め合わせ,food,other_food
200925,ハラミ,food,meat_seafood
200930,ロース,food,meat_seafood
200932,バラ・カルビ,food,meat_seafood
200943,手羽,food,meat_seafood
200962,セット・詰め合わせ,food,sweets
200965,ロースハム,food,meat_seafood
200969,サラミ,food,meat_seafood
200976,キウイフルーツ,food,other_food
200991,たまねぎ,food,other_food
200998,まつたけ,food,other_food
201005,黒豆,food,other_food
201019,湯葉,food,other_food
201035,,food,staple_food
201043,ちまき,food,staple_food
201047,セット・詰め合わせ,food,other_food
201050,,food,other_food
201060,カマンベール,food,other_food
201086,鶏卵,food,other_food
201091,燻製卵・くんたま,food,other_food
201093,うどん,food,staple_food
201110,マカロニ,food,staple_food
201114,パウンドケーキ,food,sweets
201116,ミルクレープ,food,sweets
201117,バウムクーヘン,food,sweets
201119,アイスケーキ,food,sweets
201121,モンブラン,food,sweets
201124,チョコクッキー,food,sweets
201126,サブレ,food,sweets
201134,ラング・ド・シャー,food,sweets
201154,マドレーヌ,food,sweets
201155,フィナンシェ,food,sweets
201158,スイートポテト,food,sweets
201159,マカロン,food,sweets
201160,ワッフル,food,sweets
201168,栗きんとん,food,sweets
201170,あんみつ,food,sweets
201172,ところてん,food,sweets
201173,甘納豆,food,sweets
201175,おはぎ,food,sweets
201178,生菓子,food,sweets
201184,白米,food,staple_food
201197,赤飯,food,staple_food
201198,おこわ,food,staple_food
201209,セット・詰め合わせ,food,sweets
201226,セット・詰め合わせ,food,staple_food
201245,玄米酢,drink,soft_drink
201249,バルサミコ,food,other_food
201250,果実酢,drink,soft_drink
201252,オリーブオイル,food,other_food
201256,,food,other_food
201260,セット・詰め合わせ,food,sweets
201267,セット・詰め合わせ,food,sweets
201393,お酢飲料,drink,soft_drink
201402,コーヒー豆,drink,tea_coffee
201439,ハーブティー,drink,tea_coffee
201453,メイクボックス,home,bath_beauty
201488,ビタミンB9・葉酸,home,bath_beauty
201588,販促品,home,interior
201592,おしゃぶり・歯がため,home,baby
201593,,home,baby
201594,ベッドメリー・モビール,home,baby
201595,がらがら・ラトル,home,baby
201596,ベビージム,home,baby
201597,手押し車・カタカタ,home,baby
201599,おもちゃ箱,home,baby
201605,かず・計算,home,baby
201606,知育パズル,home,baby
201608,,home,baby
201609,リズム・音楽,home,baby
201779,コンペ用品,home,interior
201780,グローブ・ミット,home,fashion
201789,ボール,home,baby
201957,ボール,home,baby
202502,フラワーアレンジメント,home,flower_plant
202507,鉢花,home,flower_plant
202513,観葉植物,home,flower_plant
202528,植木,home,flower_plant
203028,カーディガン・ボレロ,home,fashion
203033,バスチェア,home,baby
203036,ベビーふとんカバー・シーツ,home,baby
203038,スリーパー,home,baby
203226,ゼリー,food,sweets
203239,えびせんべい,food,other_food
203242,ぬれせんべい,food,other_food
203246,小倉あんまんじゅう,food,sweets
203248,麩まんじゅう,food,sweets
204016,妊娠線ケアクリーム,home,bath_beauty
204017,母子手帳ケース,home,baby
204019,,home,baby
204024,布絵本,home,baby
204162,,home,interior
204254,酒まんじゅう,food,sweets
204405,パンケーキ,food,sweets
204413,ラスク,food,sweets
204417,ソフトせんべい,food,other_food
204423,ういろう,food,sweets
204425,落雁・干菓子,food,sweets
204449,飲み比べセット,drink,alcohol
204467,デジタルオーディオプレーヤー,home,interior
204491,洗濯機,home,interior
204519,空気清浄機,home,interior
204549,,home,interior
204586,炊飯器,home,tableware_kitchen
204588,ホームベーカリー,home,tableware_kitchen
204688,ヨガマット,home,bath_beauty
204689,ストレッチングボード,home,bath_beauty
204750,フットケア用品,home,bath_beauty
204788,食事用エプロン,home,baby
204789,ズボン,home,fashion
204790,ベスト,home,fashion
204791,ソックス,home,fashion
204805,みかん,food,other_food
204813,フルーツ・果物,food,other_food
204852,松前漬け,food,other_food
204861,はちみつ梅,food,other_food
204864,長崎ちゃんぽん,food,staple_food
204871,寿司,food,staple_food
204952,シャツ・ポロシャツ,home,fashion
204964,ボール,home,baby
204982,スパイク,home,fashion
205161,弁当袋・ランチバッグ,home,fashion
205171,ツーウェイオール,home,baby
205175,コート・ジャケット,home,fashion
205176,手袋,home,fashion
205178,お砂場着,home,baby
205179,Tシャツ・カットソー,home,fashion
205192,ガーゼハンカチ,home,textile
205194,おしりふき,home,baby
205195,おしりふきウォーマー,home,baby
205199,布おむつ,home,baby
205202,爪切り,home,baby
205205,ベビーローション・オイル,home,baby
205212,調乳ポット,home,baby
205227,ベビーフォトフレーム,home,baby
205228,手形・足形,home,baby
205229,ぬいぐるみ・人形,home,baby
205230,銀のスプーン,home,baby
205243,おでかけおもちゃ,home,baby
205270,お絵かき,home,baby
205272,積み木,home,baby
205278,人形,home,baby
205555,敷布団,home,textile
205582,枕,home,textile
205611,毛布・ブランケット,home,textile
205613,タオルケット,home,textile
205718,クッション,home,interior
205726,,home,interior
205761,入浴剤,home,bath_beauty
205788,,home,textile
205824,多機能ペン,home,interior
205834,包装紙,home,interior
205835,リボン,home,interior
205836,シール・ステッカー,home,interior
205838,袋・ギフトバッグ,home,interior
205839,箱・ギフトボックス,home,interior
205845,認印,home,interior
205880,額縁,home,interior
206299,オーナーズグッズ,home,interior
206363,ワイシャツ,home,fashion
206440,パンツ,home,fashion
206471,シャツ・ブラウス,home,fashion
206527,着物,home,fashion
206529,部屋着,home,fashion
206530,履物,home,fashion
206547,部屋着,home,fashion
206548,履物,home,fashion
206568,割烹着・スモック,home,fashion
206629,扇子,home,fashion
206630,うちわ,home,interior
206695,インナーシャツ,home,fashion
206712,スタンダード,home,interior
206732,腹巻,home,fashion
206744,コルセット・ウエストニッパー,home,fashion
206858,ボストンバッグ,home,fashion
206878,スニーカー,home,fashion
206906,スニーカー,home,fashion
207052,ヘアクリップ,home,fashion
207053,ヘアピン,home,fashion
207235,メンズベルト,home,fashion
207237,サスペンダー,home,fashion
207314,レディースマフラー・ストール,home,fashion
207328,レディーススカーフ,home,fashion
207338,焼豚,food,meat_seafood
207682,オールインワン・サロペット,home,fashion
207726,上下セット・セットアップ,home,fashion
207730,ベビー枕,home,baby
207732,湯上りタオル,home,textile
207733,バスローブ,home,bath_beauty
207738,温度計・湿度計,home,interior
207739,鼻吸い器・鼻みず取り器,home,baby
207751,プレート・ボウル,home,tableware_kitchen
207752,箸・スプーン・フォーク,home,tableware_kitchen
207755,命名紙,home,baby
207774,サケ,food,meat_seafood
207802,肩ロース,food,meat_seafood
207803,リブロース,food,meat_seafood
207804,ランプ,home,interior
